date,open_price,highest_price,lowest_price,close_price,turnover,volume
2016-01-04 09:35:00,149.98,149.98,145.85,147.31,30.1,728194.0
2016-01-04 09:40:00,147.27,147.34,145.52,145.56,17.02,415200.0
2016-01-04 09:45:00,145.56,145.85,144.78,145.85,25.05,615695.0
2016-01-04 09:50:00,145.85,145.92,143.28,143.28,19.02,467650.0
2016-01-04 09:55:00,143.24,143.67,141.1,143.67,37.7,945329.0
2016-01-04 10:00:00,143.67,143.71,141.99,142.99,18.62,464550.0
2016-01-04 10:05:00,142.99,143.31,141.96,141.96,11.96,299508.0
2016-01-04 10:10:00,141.96,141.99,139.07,139.07,23.7,599720.0
2016-01-04 10:15:00,139.07,139.07,137.64,138.21,22.83,589579.0
2016-01-04 10:20:00,138.36,140.78,138.36,140.71,16.81,430500.0
2016-01-04 10:25:00,140.57,140.71,138.54,138.75,11.5,294100.0
2016-01-04 10:30:00,138.75,140.5,138.75,139.75,7.45,189700.0
2016-01-04 10:35:00,139.75,140.07,139.25,140.07,4.64,118446.0
2016-01-04 10:40:00,140.0,140.71,140.0,140.43,8.34,211730.0
2016-01-04 10:45:00,140.43,140.43,139.64,139.71,6.08,155070.0
2016-01-04 10:50:00,139.78,139.78,139.07,139.25,8.08,206700.0
2016-01-04 10:55:00,139.11,139.28,138.5,139.03,8.16,209532.0
2016-01-04 11:00:00,139.0,139.53,139.0,139.53,5.93,152070.0
2016-01-04 11:05:00,139.53,139.61,139.46,139.53,4.63,118415.0
2016-01-04 11:10:00,139.57,139.57,138.71,138.71,4.76,121915.0
2016-01-04 11:15:00,138.71,138.71,137.72,137.89,7.64,197201.0
2016-01-04 11:20:00,137.82,137.89,137.32,137.5,18.72,485072.0
2016-01-04 11:25:00,137.5,137.57,136.57,136.57,35.47,923378.0
2016-01-04 11:29:00,136.61,137.29,136.57,137.29,24.14,629650.0
2016-01-04 13:05:00,137.29,137.47,136.57,136.61,13.79,358900.0
2016-01-04 13:10:00,136.57,136.65,136.57,136.61,18.04,471100.0
2016-01-04 13:12:00,136.61,136.61,136.57,136.57,4.1,107000.0
2016-01-04 13:30:00,136.57,136.68,136.57,136.57,4.57,119300.0
2016-01-04 13:34:00,136.57,136.57,136.57,136.57,0.71,18600.0
2016-01-05 09:35:00,124.81,131.01,124.81,130.87,51.58,1458396.0
