date,open_price,highest_price,lowest_price,close_price,turnover,volume
2016-01-04 09:35:00,176.9,178.02,176.52,177.64,69.72,7341639.0
2016-01-04 09:40:00,177.64,177.64,175.59,175.59,61.16,6459396.0
2016-01-04 09:45:00,175.78,176.34,175.78,175.96,36.36,3857053.0
2016-01-04 09:50:00,175.96,175.96,174.85,175.03,43.93,4675251.0
2016-01-04 09:55:00,175.03,175.41,174.66,174.66,33.77,3601949.0
2016-01-04 10:00:00,174.66,174.85,173.73,174.1,45.94,4920782.0
2016-01-04 10:05:00,174.29,174.29,173.73,174.1,30.96,3319667.0
2016-01-04 10:10:00,174.29,174.47,173.73,174.1,35.62,3823174.0
2016-01-04 10:15:00,173.54,173.54,171.86,172.61,68.42,7387164.0
2016-01-04 10:20:00,172.79,174.1,172.42,173.54,24.77,2667870.0
2016-01-04 10:25:00,173.54,173.54,172.79,173.35,16.36,1763967.0
2016-01-04 10:30:00,173.35,173.91,172.98,172.98,15.04,1618300.0
2016-01-04 10:35:00,173.35,173.54,172.98,173.35,10.73,1156702.0
2016-01-04 10:40:00,173.35,174.47,173.35,174.29,21.99,2357096.0
2016-01-04 10:45:00,174.1,174.29,173.54,173.54,11.15,1196487.0
2016-01-04 10:50:00,173.73,173.91,173.35,173.54,7.75,833240.0
2016-01-04 10:55:00,173.54,173.73,172.79,173.35,14.68,1581580.0
2016-01-04 11:00:00,173.35,173.54,172.98,173.17,7.98,858800.0
2016-01-04 11:05:00,173.54,173.54,173.17,173.54,6.32,680500.0
2016-01-04 11:10:00,173.35,173.54,172.23,172.42,19.22,2075550.0
2016-01-04 11:15:00,172.23,172.98,172.23,172.79,13.53,1463649.0
2016-01-04 11:20:00,172.79,173.54,172.79,173.35,9.33,1005067.0
2016-01-04 11:25:00,173.17,173.91,173.17,173.17,9.96,1071500.0
2016-01-04 11:30:00,173.35,173.35,172.98,173.17,3.06,329700.0
2016-01-04 13:05:00,173.35,173.35,172.23,172.42,24.38,2635513.0
2016-01-04 13:10:00,172.61,172.79,171.86,171.86,33.55,3638905.0
2016-01-04 13:13:00,171.86,172.23,171.86,172.05,7.01,761022.0
2016-01-04 13:30:00,172.05,172.05,169.99,170.18,40.59,4422509.0
2016-01-04 13:34:00,169.99,170.37,168.13,169.06,57.69,6363627.0
2016-01-05 09:35:00,167.01,173.17,166.08,172.05,130.1,14323784.0
2016-01-05 09:40:00,172.42,172.61,170.37,171.11,50.39,5487436.0
2016-01-05 09:45:00,171.11,172.42,170.37,172.23,29.92,3255455.0
2016-01-05 09:50:00,172.05,172.23,171.11,171.67,22.34,2428223.0
2016-01-05 09:55:00,171.67,171.67,170.37,170.74,20.68,2259668.0
2016-01-05 10:00:00,170.55,171.86,170.37,170.74,18.3,1996190.0
2016-01-05 10:05:00,170.93,171.11,169.43,170.55,34.77,3814136.0
2016-01-05 10:10:00,170.55,170.74,169.81,170.37,16.78,1839182.0
2016-01-05 10:15:00,170.37,171.3,169.99,170.93,18.26,1997192.0
2016-01-05 10:20:00,170.55,170.74,170.18,170.18,6.3,689300.0
2016-01-05 10:25:00,170.37,171.11,170.18,171.11,10.66,1165524.0
2016-01-05 10:30:00,171.11,171.49,170.74,171.3,12.82,1397760.0
2016-01-05 10:35:00,171.49,171.49,170.74,171.3,10.06,1096718.0
2016-01-05 10:40:00,171.11,171.3,170.37,170.55,6.98,762541.0
2016-01-05 10:45:00,170.55,170.93,170.37,170.55,4.87,532864.0
2016-01-05 10:50:00,170.37,171.3,170.18,171.11,7.96,870405.0
2016-01-05 10:55:00,171.11,171.49,170.55,170.74,9.3,1014012.0
2016-01-05 11:00:00,170.74,171.3,170.55,171.3,9.4,1026213.0
2016-01-05 11:05:00,170.74,171.49,170.74,171.11,9.34,1017872.0
2016-01-05 11:10:00,171.11,171.3,170.93,170.93,4.87,531129.0
2016-01-05 11:15:00,170.93,171.11,170.55,170.93,6.05,660700.0
2016-01-05 11:20:00,170.93,171.3,170.55,171.11,9.03,984417.0
2016-01-05 11:25:00,171.3,171.67,170.93,171.3,9.57,1042250.0
2016-01-05 11:30:00,171.49,171.67,171.11,171.11,7.57,824301.0
2016-01-05 13:05:00,171.11,171.49,170.74,170.93,8.29,904102.0
2016-01-05 13:10:00,171.11,171.3,170.55,171.11,11.1,1211240.0
2016-01-05 13:15:00,171.11,171.3,170.55,170.55,9.35,1022018.0
2016-01-05 13:20:00,170.37,170.74,169.99,170.18,18.22,1995970.0
2016-01-05 13:25:00,170.37,170.74,169.99,169.99,11.16,1222428.0
2016-01-05 13:30:00,170.74,170.74,168.5,169.06,38.74,4272786.0
2016-01-05 13:35:00,169.06,169.99,168.87,169.81,20.13,2218514.0
2016-01-05 13:40:00,169.81,170.18,169.06,169.25,16.66,1830908.0
2016-01-05 13:45:00,169.62,170.37,169.43,169.62,15.58,1711018.0
