date,open_price,highest_price,lowest_price,close_price,turnover,volume
2016-01-04 09:35:00,326.92,327.55,324.42,325.67,80.2,5121000.0
2016-01-04 09:40:00,325.47,325.47,318.59,321.09,116.77,7544500.0
2016-01-04 09:45:00,321.09,322.13,319.63,319.63,63.66,4129200.0
2016-01-04 09:50:00,319.84,320.05,317.55,319.22,62.62,4088584.0
2016-01-04 09:55:00,319.01,320.68,318.59,320.05,37.06,2416871.0
2016-01-04 10:00:00,319.63,320.88,319.22,319.43,33.11,2156012.0
2016-01-04 10:05:00,319.22,319.22,313.6,314.22,72.4,4760066.0
2016-01-04 10:10:00,314.43,314.43,310.68,310.68,95.46,6362100.0
2016-01-04 10:15:00,310.68,311.72,308.18,308.6,89.16,5998770.0
2016-01-04 10:20:00,308.6,313.18,307.56,313.18,52.43,3524593.0
2016-01-04 10:25:00,313.39,313.39,310.26,312.55,39.59,2641580.0
2016-01-04 10:30:00,312.55,314.01,312.14,312.55,28.15,1872900.0
2016-01-04 10:35:00,312.55,313.39,311.72,313.39,18.34,1222648.0
2016-01-04 10:40:00,313.39,315.68,312.76,313.18,37.11,2453900.0
2016-01-04 10:45:00,313.18,314.01,313.18,313.6,16.47,1093700.0
2016-01-04 10:50:00,313.18,313.8,312.55,312.76,27.28,1814800.0
2016-01-04 10:55:00,312.35,313.39,312.35,312.76,10.77,717449.0
2016-01-04 11:00:00,312.97,313.8,312.76,313.18,8.78,583500.0
2016-01-04 11:05:00,312.97,313.18,312.55,312.97,11.82,786600.0
2016-01-04 11:10:00,312.97,313.39,310.06,310.06,33.57,2242655.0
2016-01-04 11:15:00,310.26,310.68,309.01,309.22,38.88,2614900.0
2016-01-04 11:20:00,309.43,311.1,309.01,310.68,26.63,1792232.0
2016-01-04 11:25:00,310.89,311.93,310.06,311.31,13.56,908865.0
2016-01-04 11:30:00,311.31,311.72,310.06,310.06,11.81,790900.0
2016-01-04 13:05:00,310.06,310.26,308.39,308.6,28.37,1909310.0
2016-01-04 13:10:00,309.01,309.01,305.89,306.1,82.86,5622566.0
2016-01-04 13:13:00,305.89,306.1,304.43,304.64,21.91,1495600.0
2016-01-04 13:30:00,304.64,305.06,299.44,299.44,72.75,5000200.0
2016-01-04 13:34:00,299.23,299.23,296.73,298.81,90.21,6316646.0
2016-01-05 09:35:00,289.02,301.52,286.32,300.48,150.64,10753057.0
2016-01-05 09:40:00,301.31,301.31,297.35,299.02,77.91,5419223.0
