date,open_price,highest_price,lowest_price,close_price,turnover,volume
2016-01-04 09:35:00,438.03,438.19,434.99,438.19,23.71,868107.0
2016-01-04 09:40:00,438.19,438.67,435.95,436.75,21.68,792106.0
2016-01-04 09:45:00,436.43,436.43,434.03,435.15,18.04,662787.0
2016-01-04 09:50:00,435.15,435.47,428.75,428.91,33.23,1233855.0
2016-01-04 09:55:00,429.71,430.35,428.75,428.91,28.87,1075317.0
2016-01-04 10:00:00,429.07,429.39,426.83,428.75,36.73,1372309.0
2016-01-04 10:05:00,429.07,429.07,425.55,426.03,25.44,952734.0
2016-01-04 10:10:00,425.55,425.71,421.55,421.55,37.65,1419597.0
2016-01-04 10:15:00,421.23,421.55,417.87,419.95,38.2,1455374.0
2016-01-04 10:20:00,419.63,424.27,418.99,424.27,33.21,1263105.0
2016-01-04 10:25:00,423.95,424.27,422.35,423.31,23.93,904336.0
2016-01-04 10:30:00,423.63,424.91,422.35,422.35,16.82,634469.0
2016-01-04 10:35:00,422.99,423.47,420.75,421.39,21.43,812934.0
2016-01-04 10:40:00,422.03,424.91,421.87,423.63,12.92,487609.0
2016-01-04 10:45:00,423.63,424.91,422.19,424.59,14.14,533754.0
2016-01-04 10:50:00,424.91,424.91,422.67,422.83,10.79,407394.0
2016-01-04 10:55:00,423.15,423.31,422.35,423.15,7.26,274706.0
2016-01-04 11:00:00,423.15,425.23,422.99,424.91,8.77,330700.0
2016-01-04 11:05:00,424.75,425.07,422.51,423.31,8.24,311046.0
2016-01-04 11:10:00,423.63,423.95,421.71,422.19,9.59,362744.0
2016-01-04 11:15:00,422.19,422.19,420.11,420.91,14.45,549114.0
2016-01-04 11:20:00,420.91,422.51,420.43,422.35,10.95,415881.0
2016-01-04 11:25:00,422.03,423.15,421.55,422.35,7.87,298100.0
2016-01-04 11:29:00,422.67,422.67,421.71,421.87,4.15,157300.0
2016-01-04 13:05:00,421.71,421.71,419.15,419.79,18.14,690810.0
2016-01-04 13:10:00,421.23,421.23,417.87,417.87,25.22,963238.0
2016-01-04 13:12:00,417.87,418.35,417.55,418.19,6.56,251258.0
2016-01-04 13:30:00,418.19,418.83,414.67,414.67,44.73,1716116.0
2016-01-04 13:34:00,414.35,415.95,407.95,410.67,38.63,1503440.0
2016-01-05 09:35:00,407.95,415.79,402.99,415.63,93.43,3667395.0
2016-01-05 09:40:00,415.95,419.15,415.63,417.55,60.11,2302897.0
2016-01-05 09:45:00,417.55,422.35,416.43,422.35,47.66,1823110.0
2016-01-05 09:50:00,422.35,425.23,420.59,420.75,58.86,2225737.0
2016-01-05 09:55:00,420.75,421.23,416.11,417.39,43.09,1646869.0
2016-01-05 10:00:00,416.59,418.03,414.51,414.51,45.74,1757500.0
2016-01-05 10:05:00,414.51,414.99,412.27,413.55,39.65,1535728.0
2016-01-05 10:10:00,413.71,415.95,413.55,414.35,18.48,712834.0
2016-01-05 10:15:00,414.19,418.99,414.03,418.67,13.11,503438.0
2016-01-05 10:20:00,418.67,420.27,417.07,417.55,27.31,1043192.0
2016-01-05 10:25:00,417.55,418.35,416.75,416.91,11.94,457294.0
2016-01-05 10:30:00,416.91,417.55,416.27,417.07,9.63,369600.0
2016-01-05 10:35:00,416.91,420.27,416.91,417.55,14.32,547051.0
2016-01-05 10:40:00,417.07,419.63,417.07,417.55,7.26,277800.0
2016-01-05 10:45:00,417.23,417.55,416.27,416.91,9.03,346496.0
2016-01-05 10:50:00,416.75,418.35,416.43,418.03,11.99,459644.0
2016-01-05 10:55:00,417.87,419.63,417.87,419.31,8.18,312495.0
2016-01-05 11:00:00,419.31,419.47,418.83,418.83,9.76,372501.0
2016-01-05 11:05:00,418.51,421.23,418.35,420.27,13.05,496739.0
2016-01-05 11:10:00,420.11,420.27,418.83,419.63,8.91,339940.0
2016-01-05 11:15:00,419.95,419.95,418.51,418.99,7.64,291699.0
2016-01-05 11:20:00,418.99,419.95,418.51,418.51,3.71,141800.0
2016-01-05 11:25:00,418.51,418.51,417.23,418.19,12.77,489055.0
2016-01-05 11:29:00,418.19,418.35,416.91,417.07,10.4,399012.0
2016-01-05 13:05:00,417.07,417.87,416.75,417.71,9.09,348490.0
2016-01-05 13:10:00,417.71,418.03,417.07,417.23,5.85,224076.0
2016-01-05 13:15:00,417.23,417.55,415.47,415.47,15.05,578134.0
2016-01-05 13:20:00,415.47,415.79,414.35,414.51,10.55,406900.0
2016-01-05 13:25:00,414.51,416.11,414.51,414.67,9.34,359825.0
2016-01-05 13:30:00,414.67,414.67,412.75,412.75,26.41,1021850.0
2016-01-05 13:35:00,412.91,415.63,412.75,415.63,24.79,958757.0
2016-01-05 13:40:00,415.79,415.79,414.03,414.35,12.55,484025.0
2016-01-05 13:45:00,414.67,418.19,414.67,417.71,15.04,577417.0
2016-01-05 13:50:00,418.03,418.03,415.47,415.95,10.19,391316.0
2016-01-05 13:55:00,415.79,415.95,413.23,414.35,14.1,544388.0
2016-01-05 14:00:00,414.35,416.11,413.23,416.11,19.15,738288.0
2016-01-05 14:05:00,415.95,416.27,414.03,414.35,6.46,248900.0
2016-01-05 14:10:00,414.35,414.35,412.91,412.91,11.87,459175.0
2016-01-05 14:15:00,413.07,413.07,407.15,408.75,42.02,1642384.0
2016-01-05 14:20:00,409.39,412.91,408.75,412.59,25.17,979639.0
2016-01-05 14:25:00,412.27,412.75,411.15,412.75,30.46,1182850.0
2016-01-05 14:30:00,412.75,415.79,412.75,414.35,15.61,602464.0
2016-01-05 14:35:00,414.35,414.67,413.39,414.51,8.81,340532.0
2016-01-05 14:40:00,414.83,416.43,413.71,414.51,25.5,981700.0
2016-01-05 14:45:00,415.79,415.79,414.03,414.35,12.44,479300.0
2016-01-05 14:50:00,414.35,415.95,413.55,415.79,12.14,467751.0
2016-01-05 14:55:00,415.79,416.27,415.31,415.63,11.62,447266.0
2016-01-05 15:00:00,415.63,415.95,414.99,415.95,9.05,348446.0
2016-01-06 09:35:00,414.51,417.55,414.51,417.55,27.6,1062887.0
2016-01-06 09:40:00,417.87,418.99,416.43,417.71,23.64,904700.0
2016-01-06 09:45:00,418.51,418.83,415.63,415.79,13.59,520450.0
2016-01-06 09:50:00,415.63,418.03,415.31,417.55,10.21,391750.0
2016-01-06 09:55:00,417.71,418.51,416.91,418.51,14.37,550510.0
2016-01-06 10:00:00,418.35,419.63,417.87,418.67,23.02,879172.0
2016-01-06 10:05:00,418.67,418.67,417.71,418.67,9.51,363900.0
2016-01-06 10:10:00,418.67,418.67,417.07,417.07,14.25,545500.0
2016-01-06 10:15:00,417.23,417.55,416.75,417.55,12.07,462925.0
2016-01-06 10:20:00,417.55,418.51,417.07,417.39,7.71,295500.0
2016-01-06 10:25:00,417.07,418.19,417.07,417.55,8.12,311100.0
2016-01-06 10:30:00,417.55,417.87,416.11,416.27,17.09,656025.0
2016-01-06 10:35:00,416.27,416.75,415.31,415.95,18.78,722485.0
2016-01-06 10:40:00,416.43,416.43,412.59,412.75,17.16,662128.0
2016-01-06 10:45:00,412.75,415.15,412.59,414.35,13.0,502208.0
2016-01-06 10:50:00,414.99,415.15,413.55,414.35,9.63,371647.0
2016-01-06 10:55:00,414.35,414.83,412.75,413.23,9.72,376000.0
2016-01-06 11:00:00,413.71,415.31,413.23,415.31,6.38,246400.0
2016-01-06 11:05:00,415.31,415.47,414.99,415.15,5.44,209500.0
2016-01-06 11:10:00,415.31,415.79,415.15,415.31,6.66,256500.0
2016-01-06 11:15:00,415.15,417.23,415.15,416.59,8.97,345009.0
2016-01-06 11:20:00,416.59,418.19,416.11,417.55,10.86,416100.0
2016-01-06 11:25:00,417.71,417.71,416.43,416.59,5.74,220281.0
2016-01-06 11:29:00,417.55,417.87,416.43,416.59,4.49,172200.0
2016-01-06 13:05:00,416.27,417.39,415.95,417.07,7.82,300232.0
2016-01-06 13:10:00,417.23,417.23,415.95,416.75,6.96,267000.0
2016-01-06 13:15:00,417.07,417.07,415.63,415.95,9.14,351520.0
2016-01-06 13:20:00,416.43,417.23,415.31,417.07,8.5,326501.0
2016-01-06 13:25:00,417.07,418.51,415.15,418.35,15.41,590850.0
2016-01-06 13:30:00,418.51,420.75,418.35,420.75,35.82,1365143.0
2016-01-06 13:35:00,420.91,422.35,419.63,422.35,28.09,1067539.0
2016-01-06 13:40:00,422.19,423.95,422.19,422.99,63.07,2381863.0
2016-01-06 13:45:00,423.15,423.63,422.03,422.83,18.29,691900.0
2016-01-06 13:50:00,423.15,425.71,422.99,424.91,44.97,1693520.0
2016-01-06 13:55:00,425.07,425.39,423.31,424.75,15.3,576792.0
2016-01-06 14:00:00,425.23,426.19,423.15,425.55,22.82,859718.0
2016-01-06 14:05:00,426.03,429.87,425.87,429.71,49.06,1830461.0
2016-01-06 14:10:00,429.55,430.03,427.95,428.75,26.38,983389.0
2016-01-06 14:15:00,428.75,428.91,426.99,428.27,19.3,720650.0
2016-01-06 14:20:00,428.27,428.75,427.47,428.75,18.5,691064.0
2016-01-06 14:25:00,428.75,429.23,427.95,429.07,21.83,814900.0
2016-01-06 14:30:00,428.75,429.07,426.99,427.95,17.13,639700.0
2016-01-06 14:35:00,427.95,428.59,427.31,427.47,11.63,434900.0
2016-01-06 14:40:00,427.47,427.63,425.55,426.51,18.53,695616.0
2016-01-06 14:45:00,426.67,426.99,424.11,425.23,27.83,1047334.0
2016-01-06 14:50:00,425.23,425.55,424.43,425.23,23.33,878091.0
2016-01-06 14:55:00,425.55,425.87,425.23,425.71,19.81,744491.0
2016-01-06 15:00:00,425.71,425.87,425.23,425.23,11.5,432487.0
2016-01-07 09:35:00,420.27,420.27,416.43,417.87,40.05,1531610.0
2016-01-07 09:40:00,417.71,417.87,409.71,409.71,47.83,1851447.0
2016-01-07 09:42:00,409.87,411.63,409.71,410.83,21.18,824901.0
2016-01-07 09:58:00,408.75,408.75,402.67,404.43,61.43,2420643.0
2016-01-08 09:35:00,410.83,415.15,410.83,410.99,92.85,3604050.0
2016-01-08 09:40:00,411.15,411.31,409.87,410.99,36.03,1403432.0
2016-01-08 09:45:00,410.51,411.15,401.55,402.03,60.36,2378555.0
2016-01-08 09:50:00,402.35,403.15,392.28,401.39,49.58,1991927.0
2016-01-08 09:55:00,403.15,407.15,401.55,401.55,30.1,1192142.0
2016-01-08 10:00:00,403.15,412.75,403.15,408.75,28.66,1121620.0
2016-01-08 10:05:00,408.11,410.51,406.03,410.51,17.51,685488.0
2016-01-08 10:10:00,409.55,410.83,408.75,409.23,19.22,750000.0
2016-01-08 10:15:00,409.23,412.75,408.75,412.11,22.45,873000.0
2016-01-08 10:20:00,412.11,412.75,409.55,412.75,13.21,513051.0
2016-01-08 10:25:00,413.07,413.55,410.51,411.15,11.59,449600.0
2016-01-08 10:30:00,410.51,411.95,409.23,411.79,10.5,409402.0
2016-01-08 10:35:00,411.79,411.95,409.87,409.87,7.71,300160.0
2016-01-08 10:40:00,410.83,411.15,409.55,410.67,8.13,316900.0
2016-01-08 10:45:00,410.67,410.83,409.87,410.03,5.85,228100.0
2016-01-08 10:50:00,410.03,410.99,408.75,408.75,10.96,427701.0
2016-01-08 10:55:00,408.75,410.35,407.47,408.91,12.36,484198.0
2016-01-08 11:00:00,408.91,409.55,407.63,409.39,6.31,247200.0
2016-01-08 11:05:00,409.39,409.71,408.27,409.71,5.18,202600.0
2016-01-08 11:10:00,410.03,410.83,409.07,410.35,6.28,245065.0
2016-01-08 11:15:00,410.83,410.83,409.55,410.19,3.86,150300.0
2016-01-08 11:20:00,410.67,413.55,409.71,412.11,12.84,498701.0
2016-01-08 11:25:00,411.47,413.87,411.47,412.59,12.63,489200.0
2016-01-08 11:29:00,412.75,413.23,411.63,413.23,3.45,133800.0
2016-01-08 13:05:00,412.75,415.63,412.75,414.03,22.34,862659.0
2016-01-08 13:10:00,414.19,414.67,413.55,414.35,10.52,406413.0
2016-01-08 13:15:00,414.35,419.47,414.19,419.47,23.42,899993.0
2016-01-08 13:20:00,419.47,422.35,417.87,419.15,22.75,865300.0
2016-01-08 13:25:00,418.67,420.91,418.35,420.91,11.75,447915.0
2016-01-08 13:30:00,420.75,423.31,420.27,422.35,20.4,774102.0
2016-01-08 13:35:00,422.67,422.99,420.11,420.27,15.94,604800.0
2016-01-08 13:40:00,420.11,421.39,419.31,421.07,15.08,574119.0
2016-01-08 13:45:00,419.79,420.11,419.63,419.79,22.97,875198.0
2016-01-08 13:50:00,419.79,419.95,418.83,418.99,8.33,317724.0
2016-01-08 13:55:00,418.99,419.47,417.23,419.47,14.82,566950.0
2016-01-08 14:00:00,419.31,420.43,419.15,419.47,17.86,680600.0
2016-01-08 14:05:00,419.15,419.47,417.07,417.39,9.26,354238.0
2016-01-08 14:10:00,417.23,418.19,416.27,416.75,7.75,297371.0
2016-01-08 14:15:00,416.75,417.23,414.35,414.35,12.83,493319.0
2016-01-08 14:20:00,414.03,415.95,413.55,415.79,19.09,736700.0
2016-01-08 14:25:00,415.79,417.23,414.83,415.79,12.73,489600.0
2016-01-08 14:30:00,415.79,418.19,415.31,417.39,10.2,391634.0
2016-01-08 14:35:00,417.55,417.71,415.15,416.11,6.88,264300.0
2016-01-08 14:40:00,416.11,416.91,415.31,416.27,4.9,188400.0
2016-01-08 14:45:00,416.27,416.75,414.99,414.99,9.83,378300.0
2016-01-08 14:50:00,414.99,415.31,413.23,413.23,12.06,465895.0
2016-01-08 14:55:00,413.39,415.15,412.91,414.99,20.35,786900.0
